hex,coco,mard,available
D7FAA0,N03,Y3,False
8BDBFA,N04,Y4,False
E987EA,N05,Y5,False
9FE4DF,S1,R14,False
FEB872,S10,R23,False
F3C1C0,S11,R24,False
C9675E,S12,R25,False
D293BE,S13,R26,False
EA8CB1,S14,R27,False
9C87D6,S15,R28,False
77CEE9,S2,R15,False
3ECFCA,S3,R16,False
4A867A,S4,R17,False
7FCD9D,S5,R18,False
CDE55D,S6,R19,False
E8C7B4,S7,R20,False
AD6F3C,S8,R21,False
6C372F,S9,R22,False
FFFF00,W1,Q3,False
FFEBFA,W2,Q4,False
F2A5E8,W3,Q1,False
E9EC91,W4,Q2,False
76CEDE,W5,Q5,False
BCC6B8,Y01,M1,False
8AA386,Y02,M2,False
697D80,Y03,M3,False
E3D2BC,Y04,M4,False
D0CCAA,Y05,M5,True
B0A782,Y06,M6,True
B4A497,Y07,M7,False
B38281,Y08,M8,False
A58767,Y09,M9,True
C5B2BC,Y10,M10,False
9F7594,Y11,M11,False
644749,Y12,M12,True
D19066,Y13,M13,False
C77362,Y14,M14,False
757D7B,Y15,M15,False
FFE4CC,Z01,G18,False
FFE2CE,Z02,G1,True
FCF9E0,Z03,G15,False
F2D9BA,Z04,G16,False
FFC4AA,Z05,G2,True
F4C3A5,Z06,G3,True
E0C593,Z07,G11,False
E1B383,Z08,G4,False
E6B483,Z09,G9,True
EDB045,Z10,G5,True
E99C17,Z11,G6,False
E07935,Z12,G19,False
FFC890,Z13,G12,False
B7714A,Z14,G13,True
D98C39,Z15,G10,False
7B524B,Z16,G17,True
8D614C,Z17,G14,True
9D5B3E,Z18,G7,True
A94023,Z19,G20,False
8A4526,Z20,F10,True
943630,Z21,F6,True
753B32,Z22,G8,True
5A2121,Z23,F11,True
B88558,Z24,G21,False
